id,name,tier,type,country,revenue,revenue_currency,pi_vw,components,includes,source,notes,top_client_pct,client_hhi,hhi_source
vw-ag,Volkswagen AG,0,Integrador,DE,324700,EUR,100,Vehículos completos (9M/año),"Audi AG, Škoda, SEAT, Porsche, Lamborghini, Bentley, Cariad SE, Audi Hungaria, Kassel, VW Financial Services, Europcar",VW Group Annual Report 2024,"Integrador de sistemas. Concentra PI, plataformas MQB/SSP, gobernanza global",,,
bosch,Robert Bosch,1,Generalista,DE,90500,EUR,,"Inyección, ABS/ESC, software chasis","ESMC (10%, JV con TSMC/NXP/Infineon)",Bosch Annual Report 2024; VW Group Award,Mayor proveedor auto global. Privada. Aglomera pool de 7000+ especialistas,,,
denso,Denso Corporation,1,Generalista,JP,47200,USD,13.5,"Electrónica motor, HVAC, sensores, semiconductores",,SEC XBRL 20-F (2017-2022); Denso Annual Report FY2024,Toyota posee 25%. πVW 13-15% (SEC). Mantiene 4x más inventario para VW que para Toyota (AllAboutLean),50,,Denso Integrated Report FY2024: Toyota ~50% of sales
magna,Magna International,1,Generalista,CA,43000,USD,,"Carrocerías, powertrain, battery covers, espejos",,VW Group Award 2025 (Product),Puede ensamblar vehículos completos (Magna Steyr),,,
continental,Continental AG,1,Generalista,DE,39700,EUR,,"Neumáticos, electrónica, software",,Continental Annual Report 2024,Escisión Aumovio 2025. Cotiza: CON.DE,,,
zf,ZF Friedrichshafen,1,Generalista,DE,38000,EUR,,"Transmisiones, chasis, seguridad activa, frenos","TRW (2015), WABCO (2020), Lucas",Literatura analizada (documento base),Privada. Incluye Lucas TRW absorbida,,,
aisin,Aisin Corporation,1,Generalista,JP,35000,USD,,"Transmisiones, frenos, carrocería",,Literatura sector automotriz,Filial Toyota. Baja dependencia VW,,,
forvia,Forvia / Faurecia,1,Generalista,FR,27000,EUR,,"Salpicaderos, control emisiones, iluminación",HELLA (2022),Literatura analizada,Cotiza. Incluye HELLA absorbida,,,
valeo,Valeo,1,Generalista,FR,22000,EUR,,"Iluminación, sistemas térmicos, ADAS",FTE Automotive (frenos/embrague),Literatura analizada,Incluye FTE absorbida,,,
lear,Lear Corporation,1,Generalista,US,22000,USD,,"Asientos, E-Systems",,Literatura analizada,JIT/JIS directo a planta VW,,,
motherson,Motherson Group,1,Generalista,IN,18000,USD,,"Bumpers, paneles puerta, cockpits, cableado, techos","SMP Deutschland, Yachiyo Industry (2024)",MarkLines ficha SMP Deutschland; VW Group exhibitions 2016,"Cotiza NSE:MOTHERSON. VW es ~25-30% revenue. SMP provee bumper Passat, panel León, cockpit A7",30,,Estimaciones de mercado: VW ~25-30%
adient,Adient,1,Generalista,US,14500,USD,,Asientos automotrices,,Literatura analizada,Ex-Johnson Controls. Mayor fab. asientos,,,
plastic-omnium,Plastic Omnium,1,Generalista,FR,10000,EUR,,"Exteriores plásticos, sistemas energía",,Literatura analizada,Cotiza,,,
schaeffler,Schaeffler,2,Generalista,DE,16000,EUR,,"Rodamientos, transmisiones, chasis",,VW Group Award 2024 (Brands & Regions),Generalista 2º orden. Cotiza SHA.DE,,,
gestamp,Gestamp,2,Especialista,ES,13000,EUR,,"Estampación metálica, carrocería",,VW Group Award 2025 (People & Organization),Cotiza BME:GEST,,,
nemak,Nemak,2,Especialista,MX,5000,USD,13,"Bloques motor, culatas, battery housings (fundición aluminio)",,MarkLines (3.0 TFSI V6); SEC XBRL 20-F (2017-2019),Cotiza BMV:NEMAK. πVW 11-15%. Vende a Audi Hungaria,18,,"SEC XBRL 20-F: GM 18%, Ford 14%, Daimler 11%, VW 11%"
ronal,Ronal Group,1,Especialista,CH,2000,EUR,,Llantas aleación,,MarkLines; conocimiento directo,"97% OEM. Privada. Provee llantas VW, Audi, BMW, Mercedes",,,
infineon,Infineon Technologies,2,Especialista,DE,16000,EUR,,"Chips potencia, SiC, sensores",,VW Group Award; SEC filings,13% auto semi share. Copropietario ESMC. Cotiza IFX.DE,,,
nxp,NXP Semiconductors,2,Especialista,NL,12600,USD,,MCUs automotrices,,Literatura analizada; SEC filings,Copropietario ESMC. Cotiza NXPI,,,
ti,Texas Instruments,2,Especialista,US,16000,USD,,Analog/embedded semiconductors,,VW Group Award 2025 (Operational Excellence),Cotiza TXN,,,
stm,STMicroelectronics,2,Especialista,CH,13000,USD,,"MCUs, potencia",,Literatura analizada,Revenue -23% en 2024. Cotiza STM,,,
renesas,Renesas Electronics,2,Especialista,JP,12000,USD,,MCUs/SoCs automotrices,,Literatura analizada,7% auto semi share. Cotiza 6723.T,,,
lg-es,LG Energy Solution,2,Especialista,KR,25000,USD,,Celdas batería para MEB,,VW Group Award 2024 (Partnership),Gigafactories. Cotiza 373220.KS,,,
gotion,Gotion High-Tech,2,Especialista,CN,5000,USD,,Celdas batería,,VW Group Award 2024 (Battery),VW posee 26% participación directa,,,
tsmc,TSMC,3,Especialista,TW,90000,USD,,"Obleas silicio, semiconductores (fundición)",,Literatura analizada,Copropietario ESMC Dresden. CapEx >$30B/año. Cotiza TSM,,,
audi-hungaria,Audi Hungaria Motor Kft.,0,Filial,HU,0,EUR,0,Motores completos para Audi/VW/SEAT/Škoda,,Managing the international value chain in the automotive industry,Mayor centro de producción de motores del mundo (Győr). Filial del Grupo VW,,,
skoda,Škoda Auto,0,Filial,CZ,0,EUR,0,Vehículos y componentes mecánicos compartidos,,Outsourcing in the automotive industry; Modularización Trayectorias...,Filial del Grupo. Plataformas compartidas,,,
